Location,Selector,Degree,HouseholdAverageSize,HouseholdMedianSize,ZoomLevel,TopLeftDegree,BottomRightDegree,ID,Parent
Makkah,#1851fd1eace-layer-5_layer > g:nth-child(1) > path:nth-child(487),39.933 21.279 Degrees,3.7,3,4,39.919 21.292 Degrees,39.948 21.265 Degrees,Makkah-487-4,
Makkah,#1851fd1eace-layer-5_layer > g:nth-child(1) > path:nth-child(486),39.386 21.414 Degrees,3.8,3,4,39.372 21.428 Degrees,39.401 21.400 Degrees,Makkah-486-4,
Makkah,#1851fd1eace-layer-5_layer > g:nth-child(1) > path:nth-child(485),39.788 21.387 Degrees,4.1,3,4,39.775 21.400 Degrees,39.803 21.374 Degrees,Makkah-485-4,
Makkah,#1851fd1eace-layer-5_layer > g:nth-child(1) > path:nth-child(484),39.875 21.520 Degrees,4.3,4,4,39.861 21.533 Degrees,39.890 21.506 Degrees,Makkah-484-4,
Makkah,#1851fd1eace-layer-5_layer > g:nth-child(1) > path:nth-child(483),39.472 21.414 Degrees,3.8,3,4,39.459 21.428 Degrees,39.488 21.400 Degrees,Makkah-483-4,
Makkah,#1851fd1eace-layer-5_layer > g:nth-child(1) > path:nth-child(482),39.846 21.360 Degrees,4.0,3,4,39.832 21.373 Degrees,39.860 21.346 Degrees,Makkah-482-4,
Makkah,#1851fd1eace-layer-5_layer > g:nth-child(1) > path:nth-child(481),39.702 21.788 Degrees,3.9,4,4,39.688 21.801 Degrees,39.716 21.774 Degrees,Makkah-481-4,
Makkah,#1851fd1eace-layer-5_layer > g:nth-child(1) > path:nth-child(480),39.673 21.600 Degrees,5.0,5,4,39.659 21.613 Degrees,39.688 21.587 Degrees,Makkah-480-4,
Makkah,#1851fd1eace-layer-5_layer > g:nth-child(1) > path:nth-child(479),39.817 21.306 Degrees,4.9,5,4,39.803 21.319 Degrees,39.831 21.292 Degrees,Makkah-479-4,
Makkah,#1851fd1eace-layer-5_layer > g:nth-child(1) > path:nth-child(478),39.846 21.600 Degrees,5.9,5,4,39.832 21.613 Degrees,39.860 21.587 Degrees,Makkah-478-4,
Makkah,#1851fd1eace-layer-5_layer > g:nth-child(1) > path:nth-child(477),40.019 21.493 Degrees,4.5,4,4,40.005 21.506 Degrees,40.033 21.479 Degrees,Makkah-477-4,
Makkah,#1851fd1eace-layer-5_layer > g:nth-child(1) > path:nth-child(476),39.760 21.547 Degrees,4.1,3,4,39.746 21.559 Degrees,39.775 21.533 Degrees,Makkah-476-4,
Makkah,#1851fd1eace-layer-5_layer > g:nth-child(1) > path:nth-child(475),39.760 21.573 Degrees,4.1,4,4,39.746 21.586 Degrees,39.775 21.559 Degrees,Makkah-475-4,
Makkah,#1851fd1eace-layer-5_layer > g:nth-child(1) > path:nth-child(474),39.904 21.681 Degrees,4.4,4,4,39.890 21.695 Degrees,39.917 21.668 Degrees,Makkah-474-4,
Makkah,#1851fd1eace-layer-5_layer > g:nth-child(1) > path:nth-child(473),39.702 21.333 Degrees,4.0,3,4,39.688 21.346 Degrees,39.716 21.319 Degrees,Makkah-473-4,
Makkah,#1851fd1eace-layer-5_layer > g:nth-child(1) > path:nth-child(472),39.415 21.466 Degrees,4.3,4,4,39.401 21.479 Degrees,39.430 21.453 Degrees,Makkah-472-4,
Makkah,#1851fd1eace-layer-5_layer > g:nth-child(1) > path:nth-child(471),39.990 21.493 Degrees,4.2,4,4,39.976 21.506 Degrees,40.004 21.479 Degrees,Makkah-471-4,
Makkah,#1851fd1eace-layer-5_layer > g:nth-child(1) > path:nth-child(470),39.644 21.414 Degrees,3.9,3,4,39.630 21.428 Degrees,39.659 21.400 Degrees,Makkah-470-4,
Makkah,#1851fd1eace-layer-5_layer > g:nth-child(1) > path:nth-child(469),39.990 21.547 Degrees,5.2,5,4,39.976 21.559 Degrees,40.004 21.533 Degrees,Makkah-469-4,
Makkah,#1851fd1eace-layer-5_layer > g:nth-child(1) > path:nth-child(468),39.644 21.520 Degrees,4.4,4,4,39.630 21.533 Degrees,39.659 21.506 Degrees,Makkah-468-4,
Makkah,#1851fd1eace-layer-5_layer > g:nth-child(1) > path:nth-child(467),39.904 21.520 Degrees,2.9,2,4,39.890 21.533 Degrees,39.917 21.506 Degrees,Makkah-467-4,
Makkah,#1851fd1eace-layer-5_layer > g:nth-child(1) > path:nth-child(466),40.047 21.493 Degrees,4.0,4,4,40.033 21.506 Degrees,40.062 21.479 Degrees,Makkah-466-4,
Makkah,#1851fd1eace-layer-5_layer > g:nth-child(1) > path:nth-child(491),39.530 21.441 Degrees,4.3,4,4,39.516 21.453 Degrees,39.544 21.428 Degrees,Makkah-491-4,
Makkah,#1851fd1eace-layer-5_layer > g:nth-child(1) > path:nth-child(493),39.415 21.920 Degrees,4.0,4,4,39.401 21.934 Degrees,39.430 21.906 Degrees,Makkah-493-4,
Makkah,#1851fd1eace-layer-5_layer > g:nth-child(1) > path:nth-child(520),39.357 21.441 Degrees,4.0,4,4,39.343 21.453 Degrees,39.372 21.428 Degrees,Makkah-520-4,
Makkah,#1851fd1eace-layer-5_layer > g:nth-child(1) > path:nth-child(494),39.415 21.441 Degrees,4.2,4,4,39.401 21.453 Degrees,39.430 21.428 Degrees,Makkah-494-4,
Makkah,#1851fd1eace-layer-5_layer > g:nth-child(1) > path:nth-child(519),39.185 21.813 Degrees,3.9,3,4,39.172 21.826 Degrees,39.199 21.801 Degrees,Makkah-519-4,
Makkah,#1851fd1eace-layer-5_layer > g:nth-child(1) > path:nth-child(518),39.357 21.493 Degrees,4.0,4,4,39.343 21.506 Degrees,39.372 21.479 Degrees,Makkah-518-4,
Makkah,#1851fd1eace-layer-5_layer > g:nth-child(1) > path:nth-child(517),39.213 21.867 Degrees,4.5,4,4,39.199 21.880 Degrees,39.228 21.854 Degrees,Makkah-517-4,
Makkah,#1851fd1eace-layer-5_layer > g:nth-child(1) > path:nth-child(516),39.185 21.306 Degrees,1.6,1,4,39.172 21.319 Degrees,39.199 21.292 Degrees,Makkah-516-4,
Makkah,#1851fd1eace-layer-5_layer > g:nth-child(1) > path:nth-child(515),39.299 21.414 Degrees,3.9,4,4,39.286 21.428 Degrees,39.315 21.400 Degrees,Makkah-515-4,
Makkah,#1851fd1eace-layer-5_layer > g:nth-child(1) > path:nth-child(514),39.299 21.360 Degrees,3.0,1,4,39.286 21.373 Degrees,39.315 21.346 Degrees,Makkah-514-4,
Makkah,#1851fd1eace-layer-5_layer > g:nth-child(1) > path:nth-child(513),39.817 21.493 Degrees,4.4,4,4,39.803 21.506 Degrees,39.831 21.479 Degrees,Makkah-513-4,
Makkah,#1851fd1eace-layer-5_layer > g:nth-child(1) > path:nth-child(512),39.788 21.493 Degrees,4.0,3,4,39.775 21.506 Degrees,39.803 21.479 Degrees,Makkah-512-4,
Makkah,#1851fd1eace-layer-5_layer > g:nth-child(1) > path:nth-child(511),39.961 21.441 Degrees,4.2,4,4,39.948 21.453 Degrees,39.975 21.428 Degrees,Makkah-511-4,
Makkah,#1851fd1eace-layer-5_layer > g:nth-child(1) > path:nth-child(510),39.559 21.840 Degrees,4.0,4,4,39.545 21.853 Degrees,39.574 21.827 Degrees,Makkah-510-4,
Makkah,#1851fd1eace-layer-5_layer > g:nth-child(1) > path:nth-child(509),39.444 21.520 Degrees,4.1,4,4,39.430 21.533 Degrees,39.459 21.506 Degrees,Makkah-509-4,
Makkah,#1851fd1eace-layer-5_layer > g:nth-child(1) > path:nth-child(508),39.904 21.306 Degrees,4.0,3,4,39.890 21.319 Degrees,39.917 21.292 Degrees,Makkah-508-4,
Makkah,#1851fd1eace-layer-5_layer > g:nth-child(1) > path:nth-child(507),39.817 21.573 Degrees,5.5,5,4,39.803 21.586 Degrees,39.831 21.559 Degrees,Makkah-507-4,
Makkah,#1851fd1eace-layer-5_layer > g:nth-child(1) > path:nth-child(506),39.933 21.493 Degrees,4.2,4,4,39.919 21.506 Degrees,39.948 21.479 Degrees,Makkah-506-4,
