Location,Selector,Degree,Household Average Size,Household Median Size,Zoom Level,Top Left Degree,Bottom Right Degree,id
Jeddah,#1851fd1d230-layer-3_layer > g:nth-child(1) > path:nth-child(841),39.188 21.537 Degrees,2.5,2,6,39.185 21.540 Degrees,39.192 21.533 Degrees,841
Jeddah,#1851fd1d230-layer-3_layer > g:nth-child(1) > path:nth-child(842),39.117 21.550 Degrees,4.6,5,6,39.113 21.553 Degrees,39.120 21.547 Degrees,842
Jeddah,#1851fd1d230-layer-3_layer > g:nth-child(1) > path:nth-child(843),39.174 21.550 Degrees,2.3,2,6,39.171 21.553 Degrees,39.178 21.547 Degrees,843
Jeddah,#1851fd1d230-layer-3_layer > g:nth-child(1) > path:nth-child(844),39.181 21.570 Degrees,2.7,2,6,39.178 21.573 Degrees,39.185 21.567 Degrees,844
Jeddah,#1851fd1d230-layer-3_layer > g:nth-child(1) > path:nth-child(845),39.174 21.577 Degrees,2.9,2,6,39.171 21.580 Degrees,39.178 21.573 Degrees,845
Jeddah,#1851fd1d230-layer-3_layer > g:nth-child(1) > path:nth-child(846),39.124 21.597 Degrees,4.3,3,6,39.120 21.600 Degrees,39.127 21.593 Degrees,846
Jeddah,#1851fd1d230-layer-3_layer > g:nth-child(1) > path:nth-child(847),39.131 21.590 Degrees,3.1,2,6,39.127 21.593 Degrees,39.134 21.587 Degrees,847
Jeddah,#1851fd1d230-layer-3_layer > g:nth-child(1) > path:nth-child(848),39.160 21.550 Degrees,2.7,2,6,39.156 21.553 Degrees,39.163 21.547 Degrees,848
Jeddah,#1851fd1d230-layer-3_layer > g:nth-child(1) > path:nth-child(849),39.124 21.577 Degrees,3.5,2,6,39.120 21.580 Degrees,39.127 21.573 Degrees,849
Jeddah,#1851fd1d230-layer-3_layer > g:nth-child(1) > path:nth-child(850),39.117 21.590 Degrees,4.3,4,6,39.113 21.593 Degrees,39.120 21.587 Degrees,850
Jeddah,#1851fd1d230-layer-3_layer > g:nth-child(1) > path:nth-child(851),39.167 21.523 Degrees,2.6,2,6,39.163 21.526 Degrees,39.171 21.520 Degrees,851
Jeddah,#1851fd1d230-layer-3_layer > g:nth-child(1) > path:nth-child(852),39.188 21.564 Degrees,3.0,2,6,39.185 21.567 Degrees,39.192 21.560 Degrees,852
Jeddah,#1851fd1d230-layer-3_layer > g:nth-child(1) > path:nth-child(853),39.131 21.570 Degrees,3.2,2,6,39.127 21.573 Degrees,39.134 21.567 Degrees,853
Jeddah,#1851fd1d230-layer-3_layer > g:nth-child(1) > path:nth-child(854),39.110 21.603 Degrees,2.9,2,6,39.107 21.607 Degrees,39.113 21.600 Degrees,854
Jeddah,#1851fd1d230-layer-3_layer > g:nth-child(1) > path:nth-child(855),39.181 21.503 Degrees,2.8,2,6,39.178 21.506 Degrees,39.185 21.500 Degrees,855
Jeddah,#1851fd1d230-layer-3_layer > g:nth-child(1) > path:nth-child(856),39.188 21.603 Degrees,3.2,2,6,39.185 21.607 Degrees,39.192 21.600 Degrees,856
Jeddah,#1851fd1d230-layer-3_layer > g:nth-child(1) > path:nth-child(857),39.174 21.543 Degrees,2.2,2,6,39.171 21.547 Degrees,39.178 21.540 Degrees,857
Jeddah,#1851fd1d230-layer-3_layer > g:nth-child(1) > path:nth-child(858),39.167 21.577 Degrees,3.0,2,6,39.163 21.580 Degrees,39.171 21.573 Degrees,858
Jeddah,#1851fd1d230-layer-3_layer > g:nth-child(1) > path:nth-child(859),39.124 21.543 Degrees,2.0,2,6,39.120 21.547 Degrees,39.127 21.540 Degrees,859
Jeddah,#1851fd1d230-layer-3_layer > g:nth-child(1) > path:nth-child(860),39.124 21.550 Degrees,4.3,4,6,39.120 21.553 Degrees,39.127 21.547 Degrees,860
Jeddah,#1851fd1d230-layer-3_layer > g:nth-child(1) > path:nth-child(861),39.160 21.597 Degrees,2.5,2,6,39.156 21.600 Degrees,39.163 21.593 Degrees,861
Jeddah,#1851fd1d230-layer-3_layer > g:nth-child(1) > path:nth-child(862),39.152 21.590 Degrees,2.8,2,6,39.149 21.593 Degrees,39.156 21.587 Degrees,862
Jeddah,#1851fd1d230-layer-3_layer > g:nth-child(1) > path:nth-child(863),39.145 21.590 Degrees,2.8,2,6,39.142 21.593 Degrees,39.149 21.587 Degrees,863
Jeddah,#1851fd1d230-layer-3_layer > g:nth-child(1) > path:nth-child(864),39.124 21.530 Degrees,2.5,2,6,39.120 21.533 Degrees,39.127 21.527 Degrees,864
Jeddah,#1851fd1d230-layer-3_layer > g:nth-child(1) > path:nth-child(865),39.152 21.603 Degrees,3.4,3,6,39.149 21.607 Degrees,39.156 21.600 Degrees,865
Jeddah,#1851fd1d230-layer-3_layer > g:nth-child(1) > path:nth-child(866),39.131 21.610 Degrees,3.1,2,6,39.127 21.613 Degrees,39.134 21.607 Degrees,866
Jeddah,#1851fd1d230-layer-3_layer > g:nth-child(1) > path:nth-child(867),39.167 21.597 Degrees,2.7,2,6,39.163 21.600 Degrees,39.171 21.593 Degrees,867
Jeddah,#1851fd1d230-layer-3_layer > g:nth-child(1) > path:nth-child(868),39.152 21.550 Degrees,2.8,2,6,39.149 21.553 Degrees,39.156 21.547 Degrees,868
Jeddah,#1851fd1d230-layer-3_layer > g:nth-child(1) > path:nth-child(869),39.160 21.530 Degrees,2.9,2,6,39.156 21.533 Degrees,39.163 21.527 Degrees,869
Jeddah,#1851fd1d230-layer-3_layer > g:nth-child(1) > path:nth-child(870),39.117 21.583 Degrees,4.1,3,6,39.113 21.587 Degrees,39.120 21.580 Degrees,870
Jeddah,#1851fd1d230-layer-3_layer > g:nth-child(1) > path:nth-child(871),39.196 21.510 Degrees,3.2,3,6,39.192 21.513 Degrees,39.199 21.506 Degrees,871
Jeddah,#1851fd1d230-layer-3_layer > g:nth-child(1) > path:nth-child(872),39.145 21.543 Degrees,2.4,2,6,39.142 21.547 Degrees,39.149 21.540 Degrees,872
Jeddah,#1851fd1d230-layer-3_layer > g:nth-child(1) > path:nth-child(873),39.174 21.583 Degrees,3.0,2,6,39.171 21.587 Degrees,39.178 21.580 Degrees,873
Jeddah,#1851fd1d230-layer-3_layer > g:nth-child(1) > path:nth-child(874),39.138 21.564 Degrees,3.3,2,6,39.134 21.567 Degrees,39.142 21.560 Degrees,874
Jeddah,#1851fd1d230-layer-3_layer > g:nth-child(1) > path:nth-child(875),39.152 21.610 Degrees,3.1,2,6,39.149 21.613 Degrees,39.156 21.607 Degrees,875
Jeddah,#1851fd1d230-layer-3_layer > g:nth-child(1) > path:nth-child(876),39.188 21.510 Degrees,3.0,2,6,39.185 21.513 Degrees,39.192 21.506 Degrees,876
Jeddah,#1851fd1d230-layer-3_layer > g:nth-child(1) > path:nth-child(877),39.196 21.564 Degrees,2.9,2,6,39.192 21.567 Degrees,39.199 21.560 Degrees,877
Jeddah,#1851fd1d230-layer-3_layer > g:nth-child(1) > path:nth-child(878),39.109 21.597 Degrees,3.9,3,6,39.106 21.600 Degrees,39.113 21.593 Degrees,878
Jeddah,#1851fd1d230-layer-3_layer > g:nth-child(1) > path:nth-child(879),39.181 21.483 Degrees,1.8,1,6,39.178 21.486 Degrees,39.185 21.480 Degrees,879
Jeddah,#1851fd1d230-layer-3_layer > g:nth-child(1) > path:nth-child(880),39.160 21.583 Degrees,2.6,2,6,39.156 21.587 Degrees,39.163 21.580 Degrees,880
Jeddah,#1851fd1d230-layer-3_layer > g:nth-child(1) > path:nth-child(881),39.160 21.603 Degrees,2.9,2,6,39.156 21.607 Degrees,39.163 21.600 Degrees,881
Jeddah,#1851fd1d230-layer-3_layer > g:nth-child(1) > path:nth-child(882),39.196 21.517 Degrees,3.6,3,6,39.192 21.520 Degrees,39.199 21.513 Degrees,882
Jeddah,#1851fd1d230-layer-3_layer > g:nth-child(1) > path:nth-child(883),39.117 21.603 Degrees,3.6,2,6,39.113 21.607 Degrees,39.120 21.600 Degrees,883
Jeddah,#1851fd1d230-layer-3_layer > g:nth-child(1) > path:nth-child(884),39.152 21.543 Degrees,2.3,2,6,39.149 21.547 Degrees,39.156 21.540 Degrees,884
Jeddah,#1851fd1d230-layer-3_layer > g:nth-child(1) > path:nth-child(885),39.167 21.610 Degrees,2.6,2,6,39.163 21.613 Degrees,39.171 21.607 Degrees,885
Jeddah,#1851fd1d230-layer-3_layer > g:nth-child(1) > path:nth-child(886),39.188 21.463 Degrees,2.6,2,6,39.185 21.466 Degrees,39.192 21.460 Degrees,886
Jeddah,#1851fd1d230-layer-3_layer > g:nth-child(1) > path:nth-child(887),39.152 21.564 Degrees,3.1,2,6,39.149 21.567 Degrees,39.156 21.560 Degrees,887
Jeddah,#1851fd1d230-layer-3_layer > g:nth-child(1) > path:nth-child(888),39.188 21.483 Degrees,2.1,1,6,39.185 21.486 Degrees,39.192 21.480 Degrees,888
Jeddah,#1851fd1d230-layer-3_layer > g:nth-child(1) > path:nth-child(889),39.160 21.517 Degrees,3.0,2,6,39.156 21.520 Degrees,39.163 21.513 Degrees,889
Jeddah,#1851fd1d230-layer-3_layer > g:nth-child(1) > path:nth-child(890),39.181 21.543 Degrees,2.8,2,6,39.178 21.547 Degrees,39.185 21.540 Degrees,890
Jeddah,#1851fd1d230-layer-3_layer > g:nth-child(1) > path:nth-child(891),39.153 21.523 Degrees,2.9,2,6,39.150 21.526 Degrees,39.156 21.520 Degrees,891
Jeddah,#1851fd1d230-layer-3_layer > g:nth-child(1) > path:nth-child(892),39.152 21.583 Degrees,2.7,2,6,39.149 21.587 Degrees,39.156 21.580 Degrees,892
Jeddah,#1851fd1d230-layer-3_layer > g:nth-child(1) > path:nth-child(893),39.124 21.610 Degrees,2.9,2,6,39.120 21.613 Degrees,39.127 21.607 Degrees,893
Jeddah,#1851fd1d230-layer-3_layer > g:nth-child(1) > path:nth-child(894),39.160 21.570 Degrees,2.8,2,6,39.156 21.573 Degrees,39.163 21.567 Degrees,894
Jeddah,#1851fd1d230-layer-3_layer > g:nth-child(1) > path:nth-child(895),39.174 21.597 Degrees,2.7,2,6,39.171 21.600 Degrees,39.178 21.593 Degrees,895
Jeddah,#1851fd1d230-layer-3_layer > g:nth-child(1) > path:nth-child(896),39.196 21.577 Degrees,3.5,3,6,39.192 21.580 Degrees,39.199 21.573 Degrees,896
Jeddah,#1851fd1d230-layer-3_layer > g:nth-child(1) > path:nth-child(897),39.196 21.496 Degrees,2.7,2,6,39.192 21.500 Degrees,39.199 21.493 Degrees,897
Jeddah,#1851fd1d230-layer-3_layer > g:nth-child(1) > path:nth-child(898),39.111 21.570 Degrees,3.4,2,6,39.109 21.573 Degrees,39.113 21.567 Degrees,898
Jeddah,#1851fd1d230-layer-3_layer > g:nth-child(1) > path:nth-child(899),39.145 21.577 Degrees,2.9,2,6,39.142 21.580 Degrees,39.149 21.573 Degrees,899
Jeddah,#1851fd1d230-layer-3_layer > g:nth-child(1) > path:nth-child(900),39.131 21.550 Degrees,3.0,2,6,39.127 21.553 Degrees,39.134 21.547 Degrees,900
Jeddah,#1851fd1d230-layer-3_layer > g:nth-child(1) > path:nth-child(901),39.181 21.597 Degrees,3.4,3,6,39.178 21.600 Degrees,39.185 21.593 Degrees,901
Jeddah,#1851fd1d230-layer-3_layer > g:nth-child(1) > path:nth-child(902),39.138 21.603 Degrees,3.8,3,6,39.134 21.607 Degrees,39.142 21.600 Degrees,902
Jeddah,#1851fd1d230-layer-3_layer > g:nth-child(1) > path:nth-child(903),39.196 21.503 Degrees,2.7,2,6,39.192 21.506 Degrees,39.199 21.500 Degrees,903
Jeddah,#1851fd1d230-layer-3_layer > g:nth-child(1) > path:nth-child(904),39.109 21.583 Degrees,2.5,2,6,39.106 21.587 Degrees,39.113 21.580 Degrees,904
Jeddah,#1851fd1d230-layer-3_layer > g:nth-child(1) > path:nth-child(905),39.188 21.557 Degrees,2.9,2,6,39.185 21.560 Degrees,39.192 21.553 Degrees,905
Jeddah,#1851fd1d230-layer-3_layer > g:nth-child(1) > path:nth-child(906),39.188 21.543 Degrees,2.7,2,6,39.185 21.547 Degrees,39.192 21.540 Degrees,906
Jeddah,#1851fd1d230-layer-3_layer > g:nth-child(1) > path:nth-child(907),39.174 21.590 Degrees,2.7,2,6,39.171 21.593 Degrees,39.178 21.587 Degrees,907
Jeddah,#1851fd1d230-layer-3_layer > g:nth-child(1) > path:nth-child(908),39.196 21.470 Degrees,2.2,1,6,39.192 21.473 Degrees,39.199 21.466 Degrees,908
Jeddah,#1851fd1d230-layer-3_layer > g:nth-child(1) > path:nth-child(909),39.145 21.603 Degrees,3.3,3,6,39.142 21.607 Degrees,39.149 21.600 Degrees,909
Jeddah,#1851fd1d230-layer-3_layer > g:nth-child(1) > path:nth-child(910),39.188 21.550 Degrees,2.8,2,6,39.185 21.553 Degrees,39.192 21.547 Degrees,910
Jeddah,#1851fd1d230-layer-3_layer > g:nth-child(1) > path:nth-child(911),39.181 21.457 Degrees,1.1,1,6,39.178 21.460 Degrees,39.185 21.453 Degrees,911
Jeddah,#1851fd1d230-layer-3_layer > g:nth-child(1) > path:nth-child(912),39.131 21.603 Degrees,3.3,2,6,39.127 21.607 Degrees,39.134 21.600 Degrees,912
Jeddah,#1851fd1d230-layer-3_layer > g:nth-child(1) > path:nth-child(913),39.124 21.583 Degrees,4.1,3,6,39.120 21.587 Degrees,39.127 21.580 Degrees,913
Jeddah,#1851fd1d230-layer-3_layer > g:nth-child(1) > path:nth-child(914),39.167 21.543 Degrees,2.0,2,6,39.163 21.547 Degrees,39.171 21.540 Degrees,914
Jeddah,#1851fd1d230-layer-3_layer > g:nth-child(1) > path:nth-child(915),39.160 21.577 Degrees,2.9,2,6,39.156 21.580 Degrees,39.163 21.573 Degrees,915
Jeddah,#1851fd1d230-layer-3_layer > g:nth-child(1) > path:nth-child(916),39.167 21.590 Degrees,2.5,2,6,39.163 21.593 Degrees,39.171 21.587 Degrees,916
Jeddah,#1851fd1d230-layer-3_layer > g:nth-child(1) > path:nth-child(917),39.174 21.557 Degrees,2.9,2,6,39.171 21.560 Degrees,39.178 21.553 Degrees,917
